Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-15 | Horário: 20:45 | Jogo: Stade Rennais FC 1901 vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-16 | Horário: 17:00 | Jogo: Racing Club de Lens vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-16 | Horário: 19:00 | Jogo: AS Monaco FC vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-16 | Horário: 21:05 | Jogo: OGC Nice vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-17 | Horário: 15:00 | Jogo: Stade Brestois 29 vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-17 | Horário: 17:15 | Jogo: AJ Auxerre vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-17 | Horário: 17:15 | Jogo: FC Metz vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-17 | Horário: 17:15 | Jogo: Angers SCO vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 1 | Data: 2025-08-17 | Horário: 20:45 | Jogo: FC Nantes vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-22 | Horário: 20:45 | Jogo: Paris Saint-Germain FC vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-23 | Horário: 17:00 | Jogo: Olympique de Marseille vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-23 | Horário: 19:00 | Jogo: OGC Nice vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-23 | Horário: 21:05 | Jogo: Olympique Lyonnais vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-24 | Horário: 15:00 | Jogo: FC Lorient vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-24 | Horário: 17:15 | Jogo: Le Havre AC vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-24 | Horário: 17:15 | Jogo: Toulouse FC vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-24 | Horário: 17:15 | Jogo: RC Strasbourg Alsace vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 2 | Data: 2025-08-24 | Horário: 20:45 | Jogo: Lille OSC vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-29 | Horário: 20:45 | Jogo: Racing Club de Lens vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-30 | Horário: 17:00 | Jogo: FC Lorient vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-30 | Horário: 19:00 | Jogo: FC Nantes vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-30 | Horário: 21:05 | Jogo: Toulouse FC vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-31 | Horário: 15:00 | Jogo: Angers SCO vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-31 | Horário: 17:15 | Jogo: Le Havre AC vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-31 | Horário: 17:15 | Jogo: AS Monaco FC vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-31 | Horário: 17:15 | Jogo: Paris FC vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 3 | Data: 2025-08-31 | Horário: 20:45 | Jogo: Olympique Lyonnais vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 4 | Data: 2025-09-12 | Horário: 20:45 | Jogo: Olympique de Marseille vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 4 | Data: 2025-09-13 | Horário: 17:00 | Jogo: OGC Nice vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 4 | Data: 2025-09-13 | Horário: 21:05 | Jogo: AJ Auxerre vs AS Monaco FC
